1,Stats 250 Exam 1 Sp13 Problem 1C,https://docs.google.com/document/d/1y9D2AXcl2n0ZZ3bfk06vpHGMwgbCjdyHMAcKk7CIsNk/pub,4,2,http://www.youtube.com/watch?v=OD-hD7FidrM
1,Stats 250 Exam 1 Sp13 Problem 1D,https://docs.google.com/document/d/1RiKlcRIvKhPQeUIGetMmbFacLcK6x2xjU6KuGIjk268/pub,3,2,http://www.youtube.com/watch?v=OD-hD7FidrM
1,Stats 250 Exam 1 Sp13 Problem 1E,https://docs.google.com/document/d/1rUrc5rLjY6tmF79Rua-2LeuyP5wQk_mudZhAwNG23U0/pub,4,1,http://www.youtube.com/watch?v=OD-hD7FidrM
2,Stats 250 Exam 1 Sp13 Problem 2,https://docs.google.com/document/d/1zwuZOweBJrurH177UNTdhWyciFnMUONUhmno-lDYNMs/pub,2,2,http://youtu.be/OD-hD7FidrM?t=3m11s
1,Stats 250 Exam 1 Sp13 Problem 3A,https://docs.google.com/document/d/1W-n6JTs98UI9HZ6CQ5VGVjDd6mp7pemKKhi8FEfwHYc/pub,4,3,http://www.youtube.com/watch?v=EwQrIY8egUY
1,Stats 250 Exam 1 Sp13 Problem 3B,https://docs.google.com/document/d/11iy6F1JIqUBJVP-4rPwbOsb86DJta602aCs65K9PT5U/pub,5,2,http://youtu.be/EwQrIY8egUY?t=1m45s
1,Stats 250 Exam 1 Sp13 Problem 3C,https://docs.google.com/document/d/1OCUbS9ianlTnRtIDx1sC-RcesNsmGakJGi4ekH8r4II/pub,4,3,http://youtu.be/EwQrIY8egUY?t=2m48s
1,Stats 250 Exam 1 Sp13 Problem 3D,https://docs.google.com/document/d/1EabdToDXhANOhzKaVXvWR-IpzGA_dAT5AHpEMGoUWEE/pub,4,3,http://youtu.be/EwQrIY8egUY?t=3m37s
1,Stats 250 Exam 1 Sp13 Problem 4,https://docs.google.com/document/d/1kDl3fVoeyvrXirkdNRPu1KQjX8LjvJkF6yJEGS_Yh74/pub,2,2,http://youtu.be/EwQrIY8egUY?t=5m41s
4,Stats 250 Exam 1 Sp13 Problem 5A,https://docs.google.com/document/d/1gKBmwCUq5niROl19uFLnxK0ZSHVConSmo-iOyJUvS8w/pub,3,2,http://www.youtube.com/watch?v=Xm0gHmS00xg
