MCDB310 Chapter 3 Problem 1,https://docs.google.com/document/d/1tVLVbLzmXt5HHe0cDF8t_wfWK-9rZwBHPU4vfMn2fTQ/pub,3,5
MCDB310 Chapter 3 Problem 2,https://docs.google.com/document/d/1s6jUDEbY0_o0FVcazmBEMtx0sPVQtDNDv_dBxp3ySjI/pub,5,5
MCDB310 Chapter 3 Problem 3,https://docs.google.com/document/d/1Wa_4pPf0jwElo__a442VdEfZeL6Cl8i1jKmkFWTavmE/pub,2,5
MCDB310 Chapter 3 Problem 4,https://docs.google.com/document/d/11MCmZbA0Zmgarbgb6OwRH9NQj9dmfCqO0Rz5NbaIfug/pub,2,5
MCDB310 Chapter 3 Problem 5,https://docs.google.com/document/d/1EbvjNKK9JOpzSqZ8WVoNMOJDmInI7ntrLXkre3VwVeU/pub,2,5
MCDB310 Chapter 3 Problem 6,https://docs.google.com/document/d/1pwZTM5KFoSyYxl8gJxZqOXppSxGHj4MHWVrly0UqRTI/pub,1,4
MCDB310 Chapter 3 Problem 7,https://docs.google.com/document/d/1LHWS9_XQ3L0YSyik03xWtvZy0NAl73AUi_W4UZ02dws/pub,4,5
MCDB310 Chapter 3 Problem 8,https://docs.google.com/document/d/1LJrIB4F_6g14T-5qP_pemOxgAcZj723wo2Z0_xN_AtE/pub,3,5
MCDB310 Chapter 3 Problem 9,https://docs.google.com/document/d/11nzaw2wHSlpN0rBLftQJ4EtAfHDtOKnpRi9vWynknOk/pub,4,4
MCDB310 Chapter 3 Problem 10,https://docs.google.com/document/d/1P-tYCvd0u1andM3Ienbi9-cqHfYW_vS83e_EEE0__cU/pub,2,5
MCDB310 Chapter 3 Problem 11,https://docs.google.com/document/d/19vcGFsgQ15Ybv2BN09jszrwfY7S_a8qobXvGk0NH6NM/pub,1,4
MCDB310 Chapter 3 Problem 12,https://docs.google.com/document/d/1zwhl-2fXEyY0qB86uleFfqHOrXw2InMG2U1E5oiMl-E/pub,2,5
MCDB310 Chapter 3 Problem 13,https://docs.google.com/document/d/1MYcWwJWayXfI17lH41tHzynyNhNilH7_WT_sKvRR7lQ/pub,3,4
MCDB310 Chapter 3 Problem 14,https://docs.google.com/document/d/10ku5As8a5qVORDaBmqTKOVJk42aL4LzyZNR5MFerIeQ/pub,3,5
MCDB310 Chapter 3 Problem 15,https://docs.google.com/document/d/1T_ioAAP7BRDbWidd1Ginp6fpfW1qVGjlFXIQNmPPL5M/pub,5,5
